student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.5356,0.6995,0.84208757,0.541,0.687,0.008105481,0.850193
0.5462,0.72775,0.8681897,0.5416,0.687,0.007316859,0.8755065
0.5402,0.7095,0.8351321,0.5401,0.69025,0.007215363,0.84234744
0.5334,0.71725,0.83444864,0.5484,0.6995,0.007808429,0.8422569
0.5429,0.73875,0.7937787,0.5422,0.70425,0.0076442314,0.80142295
0.5462,0.73025,0.80800664,0.5474,0.70175,0.008002543,0.81600916
0.5465,0.725,0.8135809,0.5497,0.7125,0.007847787,0.82142866
0.5348,0.71675,0.79909575,0.5509,0.702,0.0077004833,0.80679625
0.5444,0.74875,0.7950206,0.5507,0.721,0.007547459,0.80256796
0.5427,0.7385,0.78426665,0.5562,0.71125,0.007554736,0.7918215
0.5421,0.748,0.783165,0.5563,0.71525,0.0074981735,0.79066306
0.5188,0.7055,0.79850936,0.5567,0.7155,0.008113253,0.8066226
0.5323,0.71575,0.78266466,0.5501,0.71375,0.008292026,0.7909567
0.5467,0.734,0.77674633,0.5542,0.7245,0.0076442896,0.7843906
0.5545,0.756,0.7606416,0.5556,0.73025,0.0073793917,0.7680209
0.5312,0.74,0.75459206,0.5563,0.73325,0.007566073,0.7621581
0.5401,0.7265,0.7558389,0.5605,0.7335,0.008435473,0.7642743
0.5377,0.7265,0.7905848,0.555,0.73325,0.0088016,0.7993864
0.5309,0.73,0.7573325,0.552,0.7315,0.00796428,0.7652968
0.5409,0.74475,0.7269989,0.5553,0.742,0.008307306,0.7353062
0.5527,0.754,0.71349204,0.561,0.74725,0.007633657,0.7211257
0.5465,0.74075,0.76496065,0.5588,0.7445,0.008690204,0.7736509
0.5485,0.7665,0.73144364,0.5611,0.7525,0.0072229775,0.73866665
0.5524,0.7715,0.71529543,0.5631,0.7505,0.00881994,0.7241154
0.5425,0.757,0.70385057,0.5581,0.76025,0.008181227,0.7120317
0.5433,0.7565,0.69688046,0.5569,0.751,0.007540445,0.70442086
0.5446,0.769,0.71189183,0.5573,0.7505,0.007208395,0.71910024
0.5516,0.77225,0.71132135,0.5655,0.764,0.007844621,0.7191659
0.5534,0.77875,0.6842834,0.5664,0.76,0.0074517736,0.69173515
0.5598,0.79,0.67270386,0.5663,0.7605,0.00696339,0.6796672
0.5377,0.75675,0.6658711,0.5696,0.76875,0.0070756497,0.6729468
0.554,0.7775,0.70700276,0.5588,0.77625,0.008268191,0.7152709
0.5312,0.74925,0.70172197,0.5679,0.76975,0.008757603,0.71047956
0.5626,0.78575,0.66553104,0.5637,0.77175,0.0072078845,0.6727389
0.5409,0.7625,0.6608644,0.5644,0.77175,0.0072231786,0.6680876
0.5368,0.76475,0.64455956,0.5626,0.77375,0.0069112414,0.65147084
0.5511,0.78375,0.65096074,0.5634,0.77875,0.006849362,0.6578101
0.5386,0.78425,0.6423181,0.5662,0.78125,0.007228532,0.64954674
0.5461,0.79175,0.6642106,0.5662,0.782,0.0075904727,0.67180103
0.5544,0.79275,0.6027436,0.5684,0.79425,0.0061547146,0.60889834
0.5432,0.7695,0.66220725,0.5748,0.78525,0.0068580657,0.6690653
0.5354,0.76,0.62717927,0.5694,0.7875,0.0064564,0.63363564
0.5653,0.8175,0.64761406,0.5667,0.80175,0.006676726,0.6542908
0.543,0.781,0.60585135,0.57,0.788,0.0066606947,0.612512
0.5526,0.814,0.6210877,0.5633,0.80475,0.006803079,0.6278907
0.5492,0.7855,0.60134375,0.5714,0.80275,0.006814131,0.6081578
0.5378,0.7775,0.64262325,0.5714,0.798,0.0073070913,0.64993036
0.5436,0.78025,0.62709624,0.5713,0.81125,0.0070819766,0.6341782
0.5528,0.80925,0.6053359,0.5736,0.81375,0.007000271,0.61233616
0.5347,0.7705,0.5760107,0.5727,0.81325,0.006285695,0.5822964
0.5501,0.7975,0.59632796,0.5677,0.80575,0.007340025,0.60366803
0.5632,0.8165,0.5811051,0.5745,0.80975,0.006381923,0.58748704
0.569,0.82425,0.57898444,0.5788,0.809,0.0065529137,0.5855373
0.5542,0.8095,0.5825754,0.5753,0.8095,0.0070540556,0.5896294
0.5516,0.8245,0.5955547,0.5718,0.818,0.006799975,0.60235465
