accuracy_train,accuracy_val,loss_val
0.30550000071525574,0.29499998688697815,2.9382519721984863
0.453000009059906,0.3889999985694885,1.7148083448410034
0.5195000171661377,0.4207000136375427,1.473244309425354
0.5494999885559082,0.42399999499320984,1.2905282974243164
0.6955000162124634,0.49070000648498535,1.1141313314437866
0.7494999766349792,0.5006999969482422,0.8726446032524109
0.7565000057220459,0.49639999866485596,0.6890096068382263
0.8224999904632568,0.5070000290870667,0.5938719511032104
0.887499988079071,0.5230000019073486,0.4137870669364929
0.8964999914169312,0.5299000144004822,0.3123987317085266
0.9495000243186951,0.5612999796867371,0.20268841087818146
0.9319999814033508,0.5376999974250793,0.1769961565732956
0.949999988079071,0.5406000018119812,0.16656672954559326
0.9480000138282776,0.5612999796867371,0.1370297372341156
0.9509999752044678,0.5593000054359436,0.13346309959888458
0.9629999995231628,0.5478000044822693,0.12249822914600372
0.9595000147819519,0.5508000254631042,0.11653822660446167
0.9700000286102295,0.5619000196456909,0.1172955259680748
0.9564999938011169,0.5630999803543091,0.09993425011634827
0.9595000147819519,0.5490999817848206,0.09232315421104431
0.9660000205039978,0.5766000151634216,0.09652941673994064
0.9754999876022339,0.5702000260353088,0.09426162391901016
0.9375,0.5464000105857849,0.08157206326723099
0.984000027179718,0.5827000141143799,0.07728422433137894
0.9760000109672546,0.5641999840736389,0.05716783180832863
0.9869999885559082,0.5881999731063843,0.06858989596366882
0.9890000224113464,0.586899995803833,0.08182621002197266
0.9785000085830688,0.5788000226020813,0.0586714930832386
0.9779999852180481,0.5827000141143799,0.06175597012042999
0.9915000200271606,0.5968000292778015,0.0679837241768837
0.9854999780654907,0.5788999795913696,0.066840261220932
0.9865000247955322,0.5720999836921692,0.056002698838710785
0.9785000085830688,0.5776000022888184,0.04402388259768486
0.9934999942779541,0.6013000011444092,0.050839852541685104
0.9789999723434448,0.5771999955177307,0.05864309147000313
0.972000002861023,0.5740000009536743,0.06331638991832733
0.9955000281333923,0.6111000180244446,0.04066426679491997
0.9800000190734863,0.579200029373169,0.045530181378126144
0.9835000038146973,0.5817999839782715,0.05233045667409897
0.9819999933242798,0.574999988079071,0.05026131123304367
0.9919999837875366,0.5884000062942505,0.040354639291763306
0.9940000176429749,0.5879999995231628,0.025473976507782936
0.9915000200271606,0.5939000248908997,0.06736204028129578
0.9944999814033508,0.6101999878883362,0.03283435478806496
