student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.1363,0.14125,397.5894,0.0996,0.0995,0.0,397.5894
0.1187,0.117,3.210495,0.1039,0.1025,0.0,3.210495
0.1825,0.18025,2.2367244,0.1,0.1,0.0,2.2367244
0.2033,0.2015,2.1580305,0.1002,0.1,0.0,2.1580305
0.211,0.21425,2.1045113,0.1008,0.10125,0.0,2.1045113
0.2254,0.2345,2.0627017,0.1039,0.1025,0.0,2.0627017
0.2618,0.26625,1.9882381,0.1203,0.121,0.0,1.9882381
0.2499,0.25975,1.9498917,0.0928,0.0965,0.0,1.9498917
0.2859,0.2985,1.9469092,0.0886,0.08975,0.0,1.9469092
0.2696,0.2925,1.9169235,0.0876,0.08825,0.0,1.9169235
0.2871,0.29375,1.9402138,0.0888,0.08775,0.0,1.9402138
0.2734,0.28125,1.9422588,0.0792,0.08325,0.0,1.9422588
0.2843,0.29175,1.8876545,0.0824,0.08225,0.0,1.8876545
0.2993,0.3165,1.8486007,0.0893,0.089,0.0,1.8486007
0.2767,0.28125,1.8406891,0.0971,0.0975,0.0,1.8406891
0.2973,0.3,1.8615862,0.1068,0.10725,0.0,1.8615862
0.2268,0.2355,1.8240932,0.1045,0.104,0.0,1.8240932
0.2658,0.27375,1.9153354,0.0974,0.103,0.0,1.9153354
0.3287,0.33325,1.8229923,0.0773,0.0765,0.0,1.8229923
0.2906,0.302,1.8360666,0.0901,0.09025,0.0,1.8360666
0.3447,0.362,1.7935947,0.0979,0.1,0.0,1.7935947
0.3227,0.33525,1.7451347,0.1004,0.10025,0.0,1.7451347
0.3278,0.34575,1.7742049,0.1,0.1,0.0,1.7742049
0.32,0.334,1.7746843,0.0999,0.0995,0.0,1.7746843
0.3389,0.34675,1.7149308,0.1001,0.1,0.0009418564,1.7158725
0.3571,0.36875,1.6831906,0.1002,0.1,0.03532104,1.7185116
0.3656,0.3675,1.6704538,0.1001,0.1,0.03571675,1.7061704
0.3589,0.39,1.6983404,0.1004,0.1,0.035795122,1.7341354
0.3717,0.3955,1.6610231,0.1008,0.1,0.03518377,1.6962068
0.3796,0.4005,1.6756891,0.1012,0.10025,0.033575345,1.7092644
0.3698,0.3955,1.6257225,0.1022,0.1005,0.035231072,1.6609535
0.3767,0.38775,1.6380444,0.103,0.10175,0.033344682,1.671389
0.3798,0.401,1.6237774,0.1046,0.102,0.030500162,1.6542776
0.3769,0.395,1.6306541,0.1053,0.102,0.031022567,1.6616768
0.4031,0.43025,1.5769284,0.1065,0.10425,0.026661772,1.60359
0.3453,0.374,1.5918957,0.1095,0.11,0.026869318,1.6187649
0.4072,0.4305,1.5981712,0.1147,0.11125,0.025349298,1.6235206
0.4054,0.4305,1.5650164,0.1182,0.11625,0.023065155,1.5880816
0.4134,0.44775,1.5789922,0.1242,0.1215,0.022066664,1.601059
0.4121,0.4475,1.5271139,0.13,0.13375,0.021241318,1.5483551
0.4134,0.4565,1.5472467,0.1382,0.13675,0.020128414,1.5673752
0.4187,0.4585,1.5200846,0.1496,0.14875,0.01805888,1.5381434
0.431,0.46225,1.5099504,0.1626,0.1595,0.016982233,1.5269326
0.4229,0.4585,1.504909,0.175,0.17225,0.015701104,1.5206102
0.406,0.43975,1.5308454,0.1859,0.188,0.016918393,1.5477637
0.434,0.48175,1.4881943,0.1987,0.19975,0.013315247,1.5015097
0.4012,0.4275,1.4965155,0.2102,0.21425,0.01561828,1.5121338
0.4376,0.472,1.4962778,0.226,0.2265,0.015610036,1.5118879
0.4505,0.48975,1.4612114,0.2431,0.23975,0.013811951,1.4750235
0.4277,0.469,1.4420463,0.2568,0.25875,0.013699917,1.4557462
0.4523,0.5045,1.4191483,0.2668,0.27,0.012506098,1.4316545
0.4319,0.466,1.4462874,0.2836,0.288,0.012422708,1.4587101
0.4431,0.48575,1.4523693,0.2964,0.30575,0.013568965,1.4659382
0.4242,0.45975,1.4382528,0.305,0.329,0.013347998,1.4516009
0.4532,0.51025,1.4200245,0.317,0.33925,0.010566508,1.430591
0.4507,0.49875,1.3815883,0.3219,0.338,0.012129867,1.3937181
0.4654,0.51775,1.378135,0.3358,0.352,0.0111524165,1.3892874
0.4549,0.50675,1.360256,0.34,0.3655,0.012771547,1.3730276
0.4672,0.512,1.33253,0.3521,0.36925,0.011425182,1.3439552
0.4773,0.54025,1.335584,0.3589,0.388,0.011998211,1.3475822
0.4827,0.55425,1.2972448,0.366,0.393,0.010852544,1.3080975
0.472,0.538,1.2696278,0.3721,0.40975,0.012532895,1.2821608
0.48,0.5375,1.2680438,0.383,0.41075,0.012636399,1.2806803
0.488,0.558,1.3229074,0.3923,0.41725,0.014136285,1.3370438
0.4804,0.5495,1.2778256,0.4007,0.43325,0.011618383,1.289444
0.47,0.53125,1.24668,0.4011,0.435,0.012632107,1.2593123
0.4863,0.54125,1.2388356,0.4092,0.44125,0.012697073,1.2515326
0.4893,0.56275,1.2280644,0.4121,0.44875,0.012488912,1.2405534
0.4815,0.5455,1.2089285,0.4201,0.45625,0.012795992,1.2217245
0.5102,0.60625,1.1846746,0.4244,0.461,0.012004249,1.1966789
0.495,0.56275,1.1841025,0.4291,0.474,0.012812553,1.1969153
0.5158,0.59875,1.1588717,0.4342,0.479,0.012641129,1.1715127
0.4897,0.57425,1.1295662,0.4328,0.4775,0.012692916,1.142259
0.5203,0.61775,1.1337799,0.4436,0.48875,0.01350976,1.1472896
0.5335,0.6245,1.1555748,0.444,0.50525,0.013862163,1.1694369
0.5207,0.6145,1.1330475,0.4541,0.5075,0.013824257,1.1468718
0.4937,0.58025,1.0953587,0.4596,0.5195,0.012279475,1.1076381
0.5299,0.62975,1.0501645,0.4595,0.5175,0.011430791,1.0615953
0.5092,0.60825,1.0998182,0.4647,0.527,0.013407904,1.1132262
0.5272,0.628,1.0742097,0.4697,0.52525,0.012569772,1.0867794
0.5462,0.662,1.0263603,0.4788,0.54125,0.011393993,1.0377544
0.5419,0.6605,1.0264156,0.484,0.5535,0.012897116,1.0393127
0.5367,0.63825,1.0242544,0.4832,0.55875,0.013992417,1.0382469
0.5342,0.64825,0.9745728,0.4933,0.56,0.01240839,0.9869812
0.5358,0.64425,0.9695879,0.4929,0.56975,0.013349041,0.98293686
0.5313,0.63775,1.0030785,0.4991,0.57425,0.014529491,1.0176079
0.5475,0.671,0.9625394,0.5032,0.58375,0.013391515,0.975931
0.562,0.693,0.91328335,0.5079,0.588,0.01273075,0.9260141
0.5526,0.68225,0.9336569,0.5145,0.6025,0.012310753,0.9459677
0.5339,0.643,0.9471122,0.5183,0.60525,0.012877753,0.9599899
0.5608,0.70975,0.9117807,0.5199,0.60775,0.012963682,0.9247444
0.5556,0.68575,0.8757083,0.5258,0.61,0.013495448,0.88920385
0.583,0.731,0.88961804,0.5329,0.61525,0.013961983,0.90358
0.5751,0.7265,0.8500438,0.5318,0.63225,0.0120872855,0.862131
0.5403,0.67175,0.8164064,0.5384,0.64,0.0126721235,0.8290785
0.5773,0.73325,0.8371261,0.539,0.6485,0.013011399,0.85013753
0.5726,0.73775,0.81472224,0.548,0.65275,0.013353402,0.8280756
0.5766,0.7445,0.8254051,0.5458,0.6655,0.013371813,0.83877695
0.5738,0.73625,0.777861,0.5562,0.6705,0.012744466,0.7906054
