accuracy_eval,accuracy_train,loss
0.2847000062465668,0.2944999933242798,7.446558e-07
0.40849998593330383,0.43274998664855957,7.446558e-07
0.5041999816894531,0.559499979019165,7.446558e-07
0.524399995803833,0.6447499990463257,7.446558e-07
0.5656999945640564,0.7692499756813049,7.446558e-07
0.536300003528595,0.7372499704360962,7.446558e-07
0.6269000172615051,0.9585000276565552,7.446558e-07
0.6288999915122986,0.9652500152587891,7.446558e-07
0.6376000046730042,0.9697499871253967,7.446558e-07
0.6208000183105469,0.9850000143051147,7.446558e-07
0.6507999897003174,0.9982500076293945,7.446558e-07
0.6065000295639038,0.9470000267028809,7.446558e-07
0.6406000256538391,0.996749997138977,7.446558e-07
0.6302000284194946,0.9865000247955322,7.446558e-07
0.6571000218391418,0.999750018119812,7.446558e-07
0.6718000173568726,1.0,7.446558e-07
0.6732000112533569,1.0,7.446558e-07
0.6739000082015991,1.0,7.446558e-07
0.6743999719619751,1.0,7.446558e-07
0.6748999953269958,1.0,7.446558e-07
0.6747000217437744,1.0,7.446558e-07
0.6754000186920166,1.0,7.446558e-07
0.675599992275238,1.0,7.446558e-07
0.6762999892234802,1.0,7.446558e-07
0.6765000224113464,1.0,7.446558e-07
0.6761999726295471,1.0,7.446558e-07
0.6758999824523926,1.0,7.446558e-07
0.6758000254631042,1.0,7.446558e-07
0.6758999824523926,1.0,7.446558e-07
0.6758999824523926,1.0,7.446558e-07
0.6761000156402588,1.0,7.446558e-07
