student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.4633,0.657,0.9433144,0.4277,0.5465,0.009373201,0.95268756
0.4682,0.6755,0.9548807,0.4339,0.555,0.009170566,0.96405125
0.4736,0.7,0.94360554,0.4334,0.5475,0.009546735,0.9531523
0.465,0.671,0.9079072,0.4341,0.5625,0.009255371,0.9171626
0.4636,0.654,0.92021716,0.4347,0.557,0.009581214,0.9297984
0.4735,0.701,0.8966878,0.4324,0.558,0.009221641,0.9059094
0.4666,0.668,0.90429926,0.4354,0.5705,0.010064863,0.91436404
0.4679,0.663,0.9768332,0.4403,0.571,0.010377732,0.98721105
0.4688,0.719,0.9473151,0.4407,0.565,0.008727758,0.9560429
0.4735,0.7235,0.901405,0.448,0.5625,0.008726915,0.91013193
0.4576,0.65,0.88875866,0.4498,0.5885,0.00933719,0.8980959
0.4667,0.686,0.9302885,0.4464,0.578,0.009352918,0.9396415
0.4808,0.699,0.90249074,0.4502,0.5925,0.008781794,0.9112724
0.47,0.692,0.88079154,0.4474,0.593,0.008967524,0.8897592
0.4705,0.6865,0.87687504,0.4505,0.6015,0.00969706,0.8865722
0.4785,0.7465,0.84523183,0.4531,0.6085,0.009336938,0.85456866
0.4824,0.72,0.86798877,0.4588,0.608,0.009645934,0.87763464
0.4835,0.726,0.8574606,0.4543,0.6075,0.010195738,0.86765635
0.4852,0.7295,0.8387415,0.4515,0.626,0.009063335,0.84780484
0.4754,0.713,0.86944354,0.4548,0.624,0.009542344,0.87898576
0.4683,0.724,0.85783833,0.4602,0.6195,0.009460961,0.86729926
0.4641,0.7105,0.8196023,0.4577,0.6175,0.008989106,0.82859135
0.4797,0.7195,0.83342326,0.4593,0.634,0.009782542,0.84320575
0.4884,0.7485,0.80636185,0.4615,0.636,0.009467627,0.8158296
0.4824,0.7405,0.77961963,0.4616,0.631,0.009181717,0.7888014
0.4563,0.712,0.79029447,0.4629,0.64,0.010071394,0.8003658
0.4665,0.7135,0.85963786,0.4601,0.646,0.010457282,0.8700951
0.4886,0.7625,0.85561734,0.4649,0.6315,0.008522461,0.86413985
0.4894,0.7415,0.7951147,0.4672,0.6295,0.008967595,0.8040823
0.4564,0.692,0.8029402,0.4712,0.6525,0.009671327,0.8126116
0.478,0.755,0.79254776,0.472,0.658,0.009977761,0.8025255
0.4734,0.736,0.7709694,0.4713,0.6545,0.009175388,0.7801448
0.4662,0.7415,0.76971084,0.4675,0.6555,0.009209619,0.7789205
0.4895,0.7445,0.76229125,0.4777,0.673,0.011344734,0.7736359
0.4693,0.7515,0.7217111,0.4756,0.6565,0.00910277,0.73081386
0.4821,0.7695,0.76689976,0.4771,0.688,0.010313765,0.77721345
0.4946,0.7815,0.7282503,0.4696,0.6805,0.009660046,0.7379103
0.4849,0.765,0.7215836,0.4786,0.6635,0.009461052,0.7310446
0.4836,0.742,0.7417227,0.4705,0.6865,0.00931153,0.75103426
0.4834,0.757,0.7496775,0.4838,0.6895,0.011026708,0.76070416
0.463,0.763,0.72870135,0.4803,0.692,0.009458769,0.7381601
0.4801,0.7585,0.73080313,0.4754,0.682,0.010389802,0.74119294
0.4862,0.7895,0.72026885,0.4844,0.6825,0.010094592,0.7303634
0.4761,0.761,0.7134303,0.4746,0.7035,0.008868546,0.7222988
0.4785,0.762,0.69212174,0.4842,0.7015,0.010152114,0.70227385
0.4945,0.7915,0.6888671,0.4794,0.7095,0.009761701,0.69862884
0.4904,0.7865,0.6906954,0.4844,0.708,0.009829545,0.7005249
0.4864,0.7885,0.6572529,0.4839,0.7145,0.008905262,0.6661581
0.4791,0.788,0.6521405,0.4877,0.6985,0.009606646,0.66174716
0.4803,0.78,0.6497762,0.4866,0.7205,0.010804972,0.66058123
0.4907,0.798,0.6555442,0.4863,0.7195,0.009466481,0.66501063
0.4791,0.758,0.6780009,0.4849,0.7175,0.010788104,0.688789
0.467,0.7565,0.67423,0.4875,0.741,0.011762557,0.68599254
0.4814,0.7685,0.67495745,0.485,0.739,0.010346016,0.6853035
0.4682,0.763,0.707399,0.4825,0.7515,0.010463343,0.7178623
0.4813,0.778,0.6803228,0.4867,0.7465,0.009969713,0.69029254
0.4914,0.8045,0.65900487,0.4914,0.7355,0.0101779075,0.6691828
0.4828,0.7845,0.6836061,0.484,0.74,0.009080836,0.6926869
0.4852,0.781,0.651004,0.4882,0.739,0.010375661,0.6613797
0.4836,0.815,0.60589725,0.4893,0.7545,0.008874464,0.6147717
0.466,0.775,0.62454164,0.4937,0.7475,0.009933858,0.63447547
0.4906,0.7995,0.6522295,0.4963,0.745,0.010564293,0.6627938
0.4836,0.8055,0.6256414,0.4936,0.751,0.009380316,0.6350217
0.4909,0.822,0.5969099,0.4917,0.749,0.009430927,0.60634077
0.4768,0.811,0.5850242,0.4934,0.7505,0.008978257,0.5940024
0.4841,0.8115,0.61428154,0.491,0.754,0.009196663,0.62347823
0.4608,0.743,0.59891826,0.4979,0.7735,0.010805317,0.60972357
0.4776,0.786,0.6328825,0.5016,0.766,0.010854744,0.6437372
0.4962,0.8175,0.6204503,0.5011,0.772,0.012030254,0.6324805
0.4925,0.816,0.5877871,0.4968,0.7645,0.010597946,0.59838504
0.479,0.817,0.5538439,0.4962,0.7825,0.009112293,0.5629562
0.4829,0.8045,0.5909169,0.4933,0.767,0.009997754,0.6009146
0.4751,0.795,0.5874219,0.493,0.7625,0.010158945,0.5975809
